rank,name,elo,bestWin,bestWinElo,GCs
1,Ambassadors / Carmel High School,2341,Swingers Unlimited / Marysville High School,2090,4
2,Sound System / Center Grove High School,2331,Ambassadors / Carmel High School,2335,6
3,Innovation / Johnston High School,2320,Friend de Coup / Mitchell High School,2058,3
4,10th Street Edition / Linn-Mar High School,2299,Innovation / Johnston High School,2317,4
5,Attaché / Clinton High School,2263,Amazing Technicolor Show Choir / Westside High School,2063,3
6,F.C. Singers / Franklin Central High School,2202,N/A,-1,0
7,Royalaires / Zionsville High School,2171,Friend de Coup / Mitchell High School,1971,3
8,Studio / Urbandale High School,2160,Eos / Waukee Northwest High School,2039,1
9,Revolution / Gretna High School,2142,Amazing Technicolor Show Choir / Westside High School,2096,5
10,Swingers Unlimited / Marysville High School,2118,First Edition / Findlay High School,2082,5
11,Spectrum / Ankeny Centennial High School,2079,Studio / Urbandale High School,2213,1
12,Eos / Waukee Northwest High School,2077,Choralation / Valley High School,1987,1
13,Sound FX / Los Alamitos High School,2067,Royalaires / Zionsville High School,2228,0
14,West in the Groove / Millard West High School,2065,Swingsations / Mt. Zion High School,1943,3
15,Resonance / Lincoln Southwest High School,2063,The Classics / Wheaton Warrenville South High School,2013,3
16,Amazing Technicolor Show Choir / Westside High School,2059,West in the Groove / Millard West High School,2066,1
17,The Classics / Wheaton Warrenville South High School,2054,Studio / Urbandale High School,2165,2
18,Express / Lincoln East High School,2049,Resonance / Lincoln Southwest High School,2086,3
19,The Network / Homewood High School,2046,By Request / Loveland High School,1899,3
20,Express / Troy Buchanan High School,2027,Titan Fever / Glenwood High School,1783,3
21,Millennium / Waukee High School,2002,Entourage / Naperville North High School,1914,2
22,Visual Adrenaline / Ankeny High School,1987,Choralation / Valley High School,1982,3
23,Choralation / Valley High School,1985,Side One / Indianola High School,1839,0
24,Swingsations / Mt. Zion High School,1981,Sandpipers / Chesterton High School,1964,3
25,Powerhouse / John Burroughs High School,1980,Express / Troy Buchanan High School,2064,1
26,Riverside Company / Hastings High School,1967,Amazing Technicolor Show Choir / Westside High School,2086,1
27,Flight / Wheaton North High School,1966,Rhythm In Gold / Bloomington Kennedy High School,1963,2
28,Sandpipers / Chesterton High School,1965,Express / Troy Buchanan High School,2064,2
29,Tiger Rhythm / Broken Arrow High School,1964,Singers / Webb City High School,1716,3
30,Central Singers Inc. / Davenport Central High School,1956,Choralation / Valley High School,1991,3
31,Counterpoints / North Central High School,1951,The Classics / Wheaton Warrenville South High School,2069,2
32,Friend de Coup / Mitchell High School,1951,The Headliners / Sioux City East High School,1709,1
33,The All Americans / ETC School of Musical Arts,1951,By Request / Loveland High School,1944,4
34,Power Company / Waconia High School,1943,The Classics / Wheaton Warrenville South High School,2020,3
35,First Edition / Findlay High School,1942,Music in Motion / Solon High School,1912,1
36,Rhythm In Gold / Bloomington Kennedy High School,1941,Hilltoppers / Onalaska High School,1832,2
37,Brio / Brandon High School,1933,Swingers Unlimited / Marysville High School,2090,2
38,Spotlight / Cosby High School,1924,Varsity Singers / Auburn High School,1907,4
39,Choraleers / Neosho High School,1924,Titan Fever / Glenwood High School,1786,4
40,Red Hot / Hurricane High School,1923,NHS Singers / Noblesville High School,1747,4
41,Soundsations / Petal High School,1921,Voices of Central / Keller Central High School,1740,2
42,By Request / Loveland High School,1914,Red Hot / Hurricane High School,1898,1
43,Singers / Oak Mountain High School,1911,First Edition / Findlay High School,1994,2
44,Visions / Grenada High School,1907,First Edition / Findlay High School,1994,2
45,Music in Motion / Solon High School,1905,First Edition / Findlay High School,2142,3
46,Legacy / Ross High School,1899,N/A,-1,0
47,Show Cards / Colerain High School,1899,N/A,-1,0
48,FC Singers / Franklin Central High School,1897,Flight / Wheaton North High School,1977,3
49,Varsity Singers / Auburn High School,1892,The Network / Homewood High School,2070,2
50,Entourage / Naperville North High School,1886,The Company / Piqua High School,1780,1
51,Spotlight Singers & Company / Brownsburg High School,1884,Belles et Beaux / Plainfield High School,1864,1
52,Infinity / Millard North High School,1884,Rhythm In Gold / Bloomington Kennedy High School,1970,1
53,Spectrum / Pius X High School,1870,Blackout / Elkhorn South High School,1802,3
54,Hilltoppers / Onalaska High School,1869,Limited Edition / Tomah High School,1804,1
55,Expressions / Buffalo Grove High School,1867,N/A,-1,0
56,Belles et Beaux / Plainfield High School,1863,Electrum / Fishers High School,1781,2
57,Touch of Class / Grove City High School,1863,First Edition / Findlay High School,2081,2
58,The Company / Piqua High School,1845,First Edition / Findlay High School,2081,1
59,Panache / Oliver Ames High School,1837,N/A,-1,0
60,Modulations / El Paso-Gridley High School,1816,Flight / Wheaton North High School,2041,3
61,Ascension / Vista PEAK Preparatory,1813,Aspyre / Vista PEAK Preparatory,1613,1
62,In Sync / Burbank High School,1812,N/A,-1,0
63,Side One / Indianola High School,1811,RAMification / Southeast Polk High School,1751,2
64,VIBE / Daniel Hand High School,1805,Music Unlimited / Waltham High School,1709,4
65,Eagle Express / Aberdeen Central High School,1802,4th Avenue Jazz Company / Iowa City High School,1765,3
66,Executive Suite / Sioux Falls Roosevelt High School,1794,Eagle Express / Aberdeen Central High School,1859,2
67,Titanium / Papillion-La Vista South High School,1794,Friend de Coup / Mitchell High School,2058,0
68,Flight / Wichita All-City,1793,N/A,-1,0
69,NHS Singers / Noblesville High School,1776,Belles et Beaux / Plainfield High School,1810,2
70,Limited Edition / Tomah High School,1775,Company of Singers / Totino-Grace High School,1782,3
71,Jam Session / De Pere High School,1775,Limited Edition / Tomah High School,1811,2
72,AcaPella / Pella High School,1775,New Creation / Marion High School,1694,0
73,Electrum / Fishers High School,1774,Spotlight Singers & Company / Brownsburg High School,1904,0
74,Imagination / West Jones High School,1773,Reveille / Madison Central High School,1684,2
75,Sound FX / Hanover High School,1771,N/A,-1,0
76,Encore / Jackson Academy,1768,Brio / Brandon High School,1915,1
77,Rhythm in Gold / Bloomington Kennedy High School,1768,N/A,-1,0
78,Blackout / Elkhorn South High School,1766,Infinity / Millard North High School,1896,1
79,Music Unlimited / Waltham High School,1765,Varsity Singers / Auburn High School,1907,1
80,Double Time / Excelsior Middle School,1765,Adrenaline / Taft Middle School,1572,1
81,4th Avenue Jazz Company / Iowa City High School,1763,Central Singers Inc. / Davenport Central High School,1972,2
