rank,name,elo,bestWin,bestWinElo,GCs
1,Ambassadors / Carmel High School,2068,By Request / Loveland High School,1903,3
2,Sound Check / Waubonsie Valley High School,2035,Attaché / Clinton High School,1972,4
3,The Classics / Wheaton Warrenville South High School,2013,Visual Adrenaline / Ankeny High School,1993,3
4,Visual Adrenaline / Ankeny High School,1993,Amazing Technicolor Show Choir / Westside High School,1933,2
5,Millennium / Waukee High School,1988,Studio / Urbandale High School,1735,4
6,Attaché / Clinton High School,1972,Expressions / Buffalo Grove High School,1825,2
7,Panache / Oliver Ames High School,1971,Fantasy / Shepherd Hill Regional High School,1681,1
8,Music in Motion / Solon High School,1947,By Request / Loveland High School,1903,3
9,Amazing Technicolor Show Choir / Westside High School,1933,Riverside Company / Hastings High School,1862,5
10,By Request / Loveland High School,1903,Riverside Company / Hastings High School,1862,2
11,Great Expectations / Twinsburg High School,1887,Music in Motion / Solon High School,1947,4
12,Royalaires / Zionsville High School,1865,Sound System / Center Grove High School,1861,2
13,Riverside Company / Hastings High School,1862,Swingers Unlimited / Marysville High School,1768,3
14,Sound System / Center Grove High School,1861,Choraliers / Fairfield Senior High School,1714,3
15,Happiness Inc. / Cedar Rapids Kennedy High School,1858,4th Avenue Jazz Company / Iowa City High School,1835,4
16,Grand Central Station / La Crosse Central High School,1849,Riverside Company / Hastings High School,1862,3
17,Trojanaires / Jenks High School,1838,Innovation / Johnston High School,1734,1
18,4th Avenue Jazz Company / Iowa City High School,1835,West Side Delegation / Cedar Rapids Jefferson High School,1806,3
19,Expressions / Buffalo Grove High School,1825,Great Expectations / Twinsburg High School,1887,0
20,Pointe Singers / Grosse Pointe South High School,1812,By Request / Loveland High School,1903,1
21,West Side Delegation / Cedar Rapids Jefferson High School,1806,Voices of Central / Keller Central High School,1686,3
22,Mixed Company / Prospect High School,1805,Sound / Mundelein High School,1649,2
23,Sound FX / Los Alamitos High School,1799,F.C. Singers / Franklin Central High School,1735,1
24,Premiers / Ben Davis High School,1772,Sound System / Center Grove High School,1861,2
25,The Network / Homewood High School,1769,Varsity Singers / Auburn High School,1662,4
26,Swingers Unlimited / Marysville High School,1768,By Request / Loveland High School,1903,2
27,In Sync / Burbank High School,1765,N/A,-1,0
28,Vocalmotive / Bemidji High School,1759,Sound System / Center Grove High School,1861,2
29,Resonance / Lincoln Southwest High School,1750,Happiness Inc. / Cedar Rapids Kennedy High School,1858,2
30,Athenians / Gateway High School,1740,21st Century Singers / Bayard Secondary School,1610,1
31,Studio / Urbandale High School,1735,Visual Adrenaline / Ankeny High School,1993,1
32,F.C. Singers / Franklin Central High School,1735,Sound System / Center Grove High School,1861,1
33,Innovation / Johnston High School,1734,Resonance / Lincoln Southwest High School,1750,0
34,Rhythm In Red / Cabell Midland High School,1730,Prominent Rendition / Teays Valley High School,1695,3
35,Delegation / Danville High School,1727,Swingsations / Mt. Zion High School,1697,2
36,Friend de Coup / Mitchell High School,1718,Vocalmotive / Bemidji High School,1759,1
37,Choraliers / Fairfield Senior High School,1714,F.C. Singers / Franklin Central High School,1735,2
38,Varsity Singers / Huntington North High School,1704,Pointe Singers / Grosse Pointe South High School,1812,1
39,Powerhouse / John Burroughs High School,1701,N/A,-1,0
40,Swingsations / Mt. Zion High School,1697,Delegation / Danville High School,1727,1
41,Prominent Rendition / Teays Valley High School,1695,Vocal Infusion / Anderson High School,1616,2
42,Minstrel Magic / Carroll High School,1691,Varsity Singers / Huntington North High School,1704,3
43,Titan Fever / Glenwood High School,1691,Modulations / El Paso-Gridley High School,1617,1
44,New Dimensions / Clover Hill High School,1691,Varsity Singers / Huntington North High School,1704,3
45,Voices of Central / Keller Central High School,1686,Friend de Coup / Mitchell High School,1718,0
46,Fantasy / Shepherd Hill Regional High School,1681,VIBE / Daniel Hand High School,1659,1
47,The All Americans / ETC School of Musical Arts,1680,Prominent Rendition / Teays Valley High School,1695,3
48,First Edition / Findlay High School,1674,Minstrel Magic / Carroll High School,1691,1
49,Titanium / Papillion-La Vista South High School,1669,Infinity / Millard North High School,1568,1
50,Counterpoints / North Central High School,1668,Belles et Beaux / Plainfield High School,1621,1
51,Elite Energy / Decatur Show Choir Complex,1668,Swingsations / Mt. Zion High School,1697,0
52,Classic Connection / Sioux Falls Washington High School,1664,Harmonia Mundi / Bishop Heelan Catholic School,1552,2
53,Varsity Singers / Auburn High School,1662,Reveillon / Jackson Preparatory School,1644,0
54,Choraliers / Arlington High School,1660,Tribe Show Choir / Keller High School,1550,1
55,VIBE / Daniel Hand High School,1659,Panache / Oliver Ames High School,1971,1
56,Company / South Jones Jr/Sr High School,1655,Encore / Jackson Academy,1571,2
57,Capital Swing / Manchester High School,1651,Knight Scene / Thomas Dale High School,1560,1
58,Singers / Sullivan High School,1651,Delegation / Danville High School,1727,2
59,Sound / Mundelein High School,1649,Modulations / El Paso-Gridley High School,1617,3
60,The Company / Piqua High School,1648,By Request / Loveland High School,1903,0
61,Blackout / Elkhorn South High School,1648,Classic Connection / Sioux Falls Washington High School,1664,2
62,Spotlighters / Craig High School,1645,Classic Connection / Sioux Falls Washington High School,1664,0
63,Reveillon / Jackson Preparatory School,1644,Company / South Jones Jr/Sr High School,1655,0
